epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,87.4866,1.39852,1.77845,1.07325,0.59329,0.51607,0.47044,0.27233,1.30165,1.09036,1.01044,0.00998384,0.00332795,0.00998384,0.00332795,0.00998384,0.00332795,0.00998384,0.00332795
2,170.902,1.37324,1.03023,1.04245,0.69254,0.53158,0.56052,0.31696,1.29722,0.88831,1.02734,0.019786,0.00659533,0.019786,0.00659533,0.019786,0.00659533,0.019786,0.00659533
3,252.278,1.43048,0.96753,1.07204,0.60327,0.55122,0.56578,0.31515,1.33227,0.88908,1.04349,0.0293902,0.00979672,0.0293902,0.00979672,0.0293902,0.00979672,0.0293902,0.00979672
4,333.036,1.42968,0.93155,1.07673,0.6388,0.55631,0.56955,0.32738,1.30419,0.8042,1.0363,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,413.812,1.37419,0.85357,1.05399,0.7094,0.58812,0.62007,0.362,1.28508,0.75105,1.02695,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,494.701,1.33521,0.808,1.04205,0.65324,0.5879,0.59202,0.34656,1.27499,0.77951,1.02528,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,575.476,1.30988,0.78434,1.03199,0.76754,0.59194,0.63726,0.37575,1.21889,0.70877,0.9999,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,656.409,1.29294,0.76029,1.02465,0.7879,0.59144,0.64576,0.3884,1.18193,0.67431,0.99251,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,737.422,1.26727,0.73367,1.01693,0.68024,0.66586,0.66621,0.40008,1.17373,0.64206,0.99166,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,818.431,1.25801,0.72142,1.01551,0.77564,0.63372,0.69164,0.41486,1.15993,0.63132,0.9887,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,899.438,1.24607,0.70733,1.01354,0.76227,0.66052,0.68708,0.41387,1.15244,0.62487,0.98112,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,980.58,1.23438,0.69455,1.00757,0.75478,0.66076,0.684,0.41951,1.16173,0.62302,0.98299,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1061.69,1.22166,0.68321,1.00488,0.74772,0.65065,0.67224,0.40669,1.14558,0.61833,0.98316,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1142.6,1.20749,0.66828,0.99609,0.71076,0.66438,0.67078,0.41486,1.1227,0.60457,0.97436,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1223.49,1.21029,0.66798,0.99958,0.74056,0.66497,0.69559,0.42338,1.12572,0.59536,0.97612,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1304.58,1.19339,0.65701,0.9927,0.768,0.6586,0.70048,0.42686,1.1163,0.58389,0.97009,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1385.8,1.19229,0.65446,0.99116,0.72715,0.67709,0.69033,0.43016,1.11094,0.58629,0.96855,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1467.48,1.19083,0.64633,0.99117,0.81227,0.66812,0.70716,0.43106,1.10477,0.5738,0.9685,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1548.65,1.18382,0.64103,0.9918,0.80402,0.67621,0.70648,0.43515,1.09644,0.56545,0.96611,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1629.87,1.17268,0.63269,0.98498,0.78343,0.67714,0.71279,0.43822,1.09386,0.5643,0.96407,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1711.06,1.16623,0.62605,0.98598,0.79085,0.68343,0.72921,0.43709,1.09067,0.55096,0.96374,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
