epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,188,1.29571,1.00923,1.04661,0.66378,0.56626,0.59268,0.34619,1.19546,0.73048,0.99161,0.00999192,0.00333064,0.00999192,0.00333064,0.00999192,0.00333064,0.00999192,0.00333064
2,362.709,1.28664,0.79226,1.02264,0.61851,0.52447,0.53817,0.3152,1.27374,0.82335,1.02975,0.019794,0.006598,0.019794,0.006598,0.019794,0.006598,0.019794,0.006598
3,533.713,1.36125,0.85384,1.05077,0.70627,0.58844,0.61789,0.34876,1.28945,0.77443,1.03051,0.0293981,0.00979936,0.0293981,0.00979936,0.0293981,0.00979936,0.0293981,0.00979936
4,704.006,1.37005,0.85826,1.06003,0.69814,0.59386,0.62004,0.3519,1.25706,0.75324,1.01694,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,873.887,1.32779,0.79982,1.03798,0.73919,0.62058,0.64886,0.37053,1.22854,0.69032,1.00727,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1043.5,1.29287,0.76493,1.02833,0.74248,0.60384,0.64755,0.38515,1.20679,0.67417,1.00111,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1213.11,1.26331,0.72759,1.01545,0.74025,0.64848,0.66778,0.40938,1.15892,0.63982,0.98434,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1382.15,1.24289,0.70923,1.01411,0.77948,0.62631,0.67743,0.41183,1.15578,0.62409,0.98465,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1551.13,1.22229,0.68835,1.00543,0.73455,0.66929,0.69233,0.41781,1.15171,0.61134,0.98273,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1720.04,1.20359,0.66683,0.99795,0.71909,0.69806,0.69131,0.42153,1.12558,0.59744,0.9729,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1888.83,1.19022,0.65649,0.99318,0.76515,0.67395,0.69626,0.42583,1.11777,0.59815,0.97192,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2057.7,1.17711,0.64446,0.99316,0.78326,0.68358,0.70395,0.44156,1.09533,0.57914,0.96475,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2226.54,1.17167,0.6374,0.98831,0.81608,0.66163,0.72087,0.4485,1.09349,0.56375,0.96155,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2395.37,1.1598,0.6239,0.98182,0.80147,0.67595,0.71978,0.4517,1.08906,0.5616,0.96569,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2564.12,1.15027,0.61893,0.98069,0.77153,0.68166,0.71457,0.44805,1.08887,0.55147,0.96545,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2732.86,1.13589,0.60648,0.97593,0.78944,0.70634,0.73139,0.45627,1.06441,0.54238,0.95694,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2901.63,1.13574,0.59971,0.97831,0.7465,0.71379,0.73214,0.46803,1.06885,0.53923,0.95597,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3070.44,1.12732,0.59969,0.97665,0.78661,0.70851,0.73157,0.45782,1.06363,0.54016,0.95241,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3239.16,1.12095,0.59108,0.96977,0.84028,0.69543,0.74426,0.46775,1.0556,0.526,0.95358,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3407.91,1.11593,0.58679,0.97061,0.80382,0.713,0.7436,0.47076,1.04343,0.52749,0.94755,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3576.68,1.10578,0.57616,0.96808,0.79575,0.71172,0.74739,0.47247,1.03864,0.51545,0.94774,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3745.48,1.1078,0.57797,0.96671,0.76955,0.72124,0.74365,0.47015,1.04414,0.52255,0.95041,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3914.14,1.09356,0.56872,0.96095,0.80539,0.70684,0.74094,0.47314,1.03831,0.50919,0.94772,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4082.91,1.09424,0.56354,0.96073,0.79013,0.72154,0.74627,0.47584,1.03719,0.51365,0.9468,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,4251.7,1.08689,0.5581,0.9591,0.76692,0.72479,0.73827,0.47197,1.03869,0.50629,0.948,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,4420.42,1.08366,0.55579,0.95688,0.78523,0.72987,0.75433,0.47955,1.0215,0.50122,0.94649,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,4589.17,1.07854,0.55243,0.95511,0.79872,0.72831,0.74094,0.47228,1.02041,0.50184,0.94174,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,4757.82,1.0741,0.55078,0.95394,0.77459,0.74413,0.75406,0.48182,1.02919,0.49727,0.94765,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,4926.53,1.07108,0.54483,0.95368,0.80191,0.73672,0.75048,0.48064,1.02433,0.49876,0.94383,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,5095.26,1.0614,0.54289,0.94833,0.80368,0.72391,0.74426,0.48115,1.01688,0.49285,0.94185,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,5263.91,1.05264,0.53592,0.95072,0.79537,0.73713,0.75641,0.49172,1.01442,0.49037,0.94085,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,5432.71,1.05211,0.53305,0.94724,0.80724,0.71698,0.74835,0.4884,1.01956,0.48924,0.94228,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
